자치구,스트레스분류,해결태그,장소명,카테고리,도로명주소,경도,위도,전화번호,플레이스URL
강남구,안전,키워드:야경,콜룸바 삼성점,음식점>양식,서울특별시 강남구 봉은사로 449 17층,127.0488051,37.5119901,,https://app.catchtable.co.kr/ct/shop/kolumba_seoul?type=DINING&currentSuggestionType=SHOP_NAME_LIKE
강남구,안전,키워드:야경,마운트,술집>바(BAR),서울특별시 강남구 도산대로 323 청담CGV 15층,127.0369793,37.5229083,,
강동구,안전,키워드:사람,농장사람들,"한식>육류,고기요리",서울특별시 강동구 고덕로 109 1층,127.1374284,37.5548829,,
강동구,안전,키워드:사람,하늘정원을 가꾸는 사람들,"음식점>카페,디저트",서울특별시 강동구 천호옛길 41 B동 1층,127.1228142,37.5331009,,
강동구,안전,키워드:백화점,현대백화점 천호점,"쇼핑,유통>백화점",서울특별시 강동구 천호대로 1005 현대백화점천호점,127.1244058,37.5388608,,http://www.ehyundai.com/newPortal/DP/DP000000_V.do?branchCd=B00126000
강동구,안전,키워드:백화점,경송 천호본점,"한식>육류,고기요리",서울특별시 강동구 천호대로159길 22 1층 경송,127.1279664,37.5385627,,https://app.catchtable.co.kr/ct/shop/kyungsong
강동구,안전,키워드:복합문화공간,오뉴 천호,"음식점>카페,디저트",서울특별시 강동구 천호대로 1005 4층 오뉴,127.1243983,37.5389825,,https://onew.life
강동구,안전,키워드:복합문화공간,라이트룸서울,"문화,예술>복합문화공간",서울특별시 강동구 아리수로61길 103,127.1476889,37.5653767,,https://www.instagram.com/_lightroomseoul/
강동구,안전,키워드:복합문화공간,DE1993 JEWELRY CAFE,"문화,예술>복합문화공간",서울특별시 강동구 고덕로19길 8 DE1993빌딩,127.1338971,37.5551533,,http://www.de1993.com
강동구,안전,키워드:복합문화공간,서울청년센터 강동,"문화,예술>복합문화공간",서울특별시 강동구 올림픽로 610 천호역효성해링턴타워 B동 2층 서울청년센터 강동,127.1232917,37.5360954,,https://www.instagram.com/syc_gangdong/
강동구,안전,키워드:복합문화공간,천호마을활력소,"문화,예술>복합문화공간",서울특별시 강동구 구천면로68나길 17,127.1417612,37.5483497,,https://blog.naver.com/gangdongvital
강동구,안전,키워드:느좋,삼끼막창 천호본점,"한식>곱창,막창,양",서울특별시 강동구 올림픽로77길 10 1층 삼끼막창,127.1243935,37.5428614,,https://app.catchtable.co.kr/ct/shop/samkki_cheonho
강동구,안전,키워드:느좋,신사소곱창 천호점,"육류,고기요리>곱창,막창,양",서울특별시 강동구 천호대로155길 24,127.1262137,37.5390996,,https://www.instagram.com/no.1sinsaso_ch/
강동구,안전,키워드:느좋,대추나무 사랑걸렸네,음식점>술집,서울특별시 강동구 성안로3길 108 1층,127.1242186,37.527977,,https://www.instagram.com/daechu_seoul
강동구,안전,키워드:쉼터,광진교 8번가,"여행,명소>전망대",,127.1141474,37.5444771,,https://www.instagram.com/riverview.8/
강동구,안전,키워드:쉼터,쉼터먹거리,음식점>한식,서울특별시 강동구 양재대로136길 11,127.1443661,37.5487258,,
강동구,안전,키워드:쉼터,무더위쉼터,장소대여>공유누리 개방자원,서울특별시 강동구 강동대로53길 76 (성내동) 성내3동 주민센터,127.13287,37.5260101,,
강동구,안전,키워드:쉼터,솔기원,"스포츠,오락>바둑,기원",서울특별시 강동구 양재대로 1355 오스카 상가 3층 318호,127.135628,37.5274192,,
강동구,안전,키워드:야경,메종 드 플래터 스타시티서울 레스토랑,음식점>양식,서울특별시 강동구 구천면로 140 스타시티빌딩 7층,127.1204648,37.5422758,,https://app.catchtable.co.kr/ct/shop/maisondeplatter
강동구,안전,키워드:야경,7080 한강 야경 라이브 카페,음식점>술집,서울특별시 강동구 구천면로 140 스타시티 6층,127.1204648,37.5422758,,
강북구,안전,키워드:사람,빵이좋은사람들,"카페,디저트>베이커리",서울특별시 강북구 월계로7길 53,127.0337727,37.6126174,,
강북구,안전,키워드:사람,빵이좋은사람들,"카페,디저트>베이커리",,127.0337695,37.6126214,,
강북구,안전,키워드:사람,사람곡간,"한식>해물,생선요리",서울특별시 강북구 덕릉로40길 79,127.0336222,37.634436,,
강북구,안전,키워드:사람,시장을여는사람들 수유점,음식점>술집>요리주점,서울특별시 강북구 한천로139길 35 나동 2층,127.0253226,37.6387033,,https://www.instagram.com/sijang_suyu/
강북구,안전,키워드:백화점,롯데백화점 미아점,"쇼핑,유통>백화점",서울특별시 강북구 도봉로 62 롯데백화점미아점,127.0305114,37.6145723,,https://www.lotteshopping.com/store/main?cstrCd=0026
강북구,안전,키워드:백화점,크리스피크림도넛 롯데백화점 미아점,"카페,디저트>도넛",서울특별시 강북구 도봉로 62 롯데백화점미아점 B2,127.0304337,37.6141397,,https://www.lotteeatz.com/eatzMain
강북구,안전,키워드:백화점,짚신매운갈비찜 미아본점,"한식>육류,고기요리",서울특별시 강북구 월계로7나길 30-9 1층,127.0319616,37.6128385,,http://www.zipsinfood.co.kr/
강북구,안전,키워드:복합문화공간,더숲아카데미하우스,"문화,예술>복합문화공간",서울특별시 강북구 4.19로 135,127.0013935,37.6404244,,https://academyhouse.deosup.com
강북구,안전,키워드:복합문화공간,강북청년창업마루,"문화,예술>복합문화공간",서울특별시 강북구 노해로23길 123 강북청년창업마루,127.0173386,37.6474211,,http://www.gbmaru.com
강북구,안전,키워드:복합문화공간,서울청년센터 강북,"문화,예술>복합문화공간",서울특별시 강북구 노해로23길 123 강북청년창업마루,127.0173804,37.6474515,,https://www.instagram.com/youth_gangbuk/
강북구,안전,키워드:복합문화공간,허브36.5,"문화,예술>공연,연극시설",서울특별시 강북구 솔샘로67길 144 지하,127.0265121,37.6235054,,http://hub365.kr
강북구,안전,키워드:복합문화공간,삼양청년회관 2관,"문화,예술>복합문화공간",서울특별시 강북구 솔매로 3-10 터무늬있는 희망아지트 B동 지하1층,127.0133478,37.6253873,,http://www.samyangyouth.com
강북구,안전,키워드:쉼터,산마루쉼터,음식점>한식,서울특별시 강북구 4.19로12길 41,127.0057439,37.6465519,,
강북구,안전,키워드:쉼터,쉼터,음식점>한식,,127.0079846,37.646444,,
강북구,안전,키워드:쉼터,북한산체험형숲속쉼터,"레져,체육시설>공원",,127.00612,37.6357324,,
강북구,안전,키워드:쉼터,행복한쉼터&amp;문화공간,분식>종합분식,서울특별시 강북구 삼양로20길 27,127.0237529,37.6145857,,
강북구,안전,키워드:쉼터,나무그늘,분식>종합분식,서울특별시 강북구 삼양로20길 27,127.0237397,37.6145647,,
강북구,안전,키워드:야경,야경,술집>이자카야,서울특별시 강북구 노해로8가길 20 1층,127.0237093,37.6389136,,
강서구,안전,키워드:밝은,더베뉴지서울,"연애,결혼>예식장",서울특별시 강서구 강서로 388,126.8392962,37.5601883,,http://www.venueg.co.kr/
강서구,안전,키워드:사람,소중한 사람들의 인생국수,한식>국수,서울특별시 강서구 까치산로 22,126.8430568,37.5418785,,https://www.instagram.com/life__noodles
강서구,안전,키워드:사람,두부만드는사람들 등촌점,한식>두부요리,서울특별시 강서구 공항대로41길 66 두부를만드는사람들 등촌점,126.8466777,37.5608394,,
강서구,안전,키워드:백화점,NC백화점 강서점,"쇼핑,유통>백화점",서울특별시 강서구 강서로56길 17 NC백화점 강서점,126.8405062,37.5599572,,https://www.elandretail.com/m/store/store_01.do?branchID=00110005&lang=000600KO
강서구,안전,키워드:백화점,안스베이커리 롯데백화점 김포공항점,"카페,디저트>베이커리",서울특별시 강서구 하늘길 77 롯데백화점 김포공항점 GF,126.8036235,37.563025,,https://www.instagram.com/ansbakery_/
강서구,안전,키워드:백화점,롯데백화점 김포공항점,"쇼핑,유통>백화점",서울특별시 강서구 하늘길 77 롯데백화점김포공항점,126.8030981,37.5631779,,https://www.lotteshopping.com/store/main?cstrCd=0340
강서구,안전,키워드:백화점,폴 바셋 롯데백화점 김포공항점,"카페,디저트>카페",서울특별시 강서구 하늘길 38 롯데백화점 김포공항점 GF층,126.8031319,37.5631559,,https://www.baristapaulbassett.co.kr/Index.pb
강서구,안전,키워드:백화점,명동가츠라 롯데몰김포공항점,음식점>일식>일식당,서울특별시 강서구 하늘길 38 롯데몰 김포공항점 GF,126.8037282,37.5637522,,https://www.instagram.com/gassra.food
강서구,안전,키워드:복합문화공간,카페 비플랫,"음식점>카페,디저트",서울특별시 강서구 곰달래로 88 1층,126.8426132,37.5302116,,http://pf.kakao.com/_uPeQxj
강서구,안전,키워드:복합문화공간,독립서점 화서가,서점>독립서점,"서울특별시 강서구 월정로30길 52 201호, 202호",126.8387869,37.5346226,,https://blog.naver.com/hwaseoga
강서구,안전,키워드:복합문화공간,서울시어울림플라자,"문화,예술>복합문화공간",서울특별시 강서구 공항대로 489 서울시어울림플라자,126.8611606,37.5532355,,https://seouleoullim.or.kr/
강서구,안전,키워드:복합문화공간,오즈타운,"문화,예술>복합문화공간",서울특별시 강서구 마곡중앙4로 18 마곡그랑트윈타워 B동 4층 414호,126.8286198,37.5585262,,https://smartstore.naver.com/oztown
강서구,안전,키워드:복합문화공간,음악창작소 해봄,"문화,예술>복합문화공간",서울특별시 강서구 강서로45길 132-14 1층,126.8316131,37.5506765,,https://blog.naver.com/haebom_music
강서구,안전,키워드:느좋,스시도쿠 마곡코엑스점,음식점>일식>일식당,서울특별시 강서구 마곡중앙로 143 르웨스트시티 본동 지하2층 222호,126.825534,37.5664206,,
강서구,안전,키워드:느좋,안주공방 까치산역본점,술집>이자카야,서울특별시 강서구 국회대로 85-41 삼우빌딩 1층 안주공방,126.8443065,37.52818,,https://www.instagram.com/anju_gongbang
강서구,안전,키워드:느좋,영춘갈비,"한식>육류,고기요리","서울특별시 강서구 마곡중앙로 161-8 두산더랜드파크 C동 1층 101, 102호",126.8274366,37.5687808,,https://www.instagram.com/youngchoon_galbi
강서구,안전,키워드:느좋,남춘네숯불닭갈비 목동사거리본점,한식>닭갈비,서울특별시 강서구 등촌로 47-1,126.8633622,37.5342939,,https://www.instagram.com/namchunne_dak
