자치구,year_month,강수량점수,대기점수,불쾌지수점수,쓰레기점수,이상기온점수,환경점수
관악구,2024-09,27.515274256501712,82.91,11.68,83.12,46.26865671641791,50.29878619458392
관악구,2024-10,7.369068355367809,74.53,35.99,84.51,13.432835820895525,43.16638083525267
관악구,2024-11,6.258213337061372,65.61,53.94,85.34,14.925373134328357,45.214717294277946
관악구,2024-12,0.1360230634660943,64.16,76.46,86.45,2.985074626865672,46.03821953806635
광진구,2022-01,0.0226705105776823,49.95,80.28,93.55,2.985074626865672,45.35754902748867
광진구,2022-02,0.0340057658665235,56.05,77.8,93.55,2.985074626865672,46.083816078546434
광진구,2022-03,1.7342940591927034,56.21,59.36,92.14,11.940298507462686,44.276918513331076
광진구,2022-04,0.5554275091532187,59.36,42.43,92.14,19.402985074626866,42.777682516756016
광진구,2022-05,0.1586935740437767,70.32,32.97,91.74,19.402985074626866,42.918335729734125
광진구,2022-06,30.099712462357505,80.65,20.79,90.74,16.417910447761194,47.73952458202374
광진구,2022-07,21.710471130993987,73.54,11.61,90.14,56.71641791044776,50.74337780828834
광진구,2022-08,43.52295955958755,78.23,14.7,90.14,29.850746268656717,51.28874116564886
광진구,2022-09,15.61095136797639,80.46,21.68,91.14,17.91044776119403,45.36027982583409
광진구,2022-10,7.573102950566951,76.31,41.55,92.14,13.432835820895525,46.20118775429249
광진구,2022-11,6.484918442838196,65.36,52.6,92.75,8.955223880597014,45.23002846468704
광진구,2022-12,0.1360230634660943,71.67,77.62,93.55,0.0,48.59520461269322
광진구,2023-01,6.099519763017596,55.54,81.21,87.15,16.417910447761194,49.28348604215576
광진구,2023-02,0.0,54.47,69.54,87.15,4.477611940298507,43.12752238805971
광진구,2023-03,0.1700288293326179,46.08,49.61,85.26,14.925373134328357,39.2090803927322
광진구,2023-04,6.847646612081114,60.89,43.44,85.26,20.8955223880597,43.46663380002816
광진구,2023-05,13.468588118385403,69.02,29.72,84.72,31.343283582089555,45.65437434009499
광진구,2023-06,18.70662847945107,71.24,22.9,83.38,29.850746268656717,45.21547494962155
광진구,2023-07,35.065706696490984,75.5,12.45,82.57,64.17910447761194,53.95296223482059
광진구,2023-08,20.61095136797639,79.85,12.89,82.57,61.19402985074627,51.422996243744535
광진구,2023-09,8.105859949142488,80.51,17.04,83.92,22.388059701492537,42.39278393012701
광진구,2023-10,0.6234390408862659,74.26,38.38,85.26,17.91044776119403,43.28677736041606
광진구,2023-11,7.085686973146779,71.8,62.15,86.07,11.940298507462686,47.809197096121885
광진구,2023-12,7.0743517178579385,62.51,78.58,87.15,14.925373134328357,50.04794497043726
광진구,2024-01,0.2607108716433475,64.98,80.41,87.57,7.462686567164178,48.136679487761505
광진구,2024-02,1.428242166393991,66.98,69.95,87.57,4.477611940298507,46.0811708213385
광진구,2024-03,0.2947166375098711,57.12,60.73,85.71,22.388059701492537,45.24855526780048
광진구,2024-04,0.7027858279081541,55.58,37.13,85.71,20.8955223880597,40.003661643193574
광진구,2024-05,7.312392078923603,67.13,30.84,85.18,28.35820895522388,43.7641202068295
광진구,2024-06,7.573102950566951,61.73,15.68,83.86,50.74626865671642,43.91787432145667
광진구,2024-07,31.07454441719785,78.22,7.05,83.06,47.76119402985074,49.433147689409715
광진구,2024-08,8.04918367269828,69.46,0.47,83.06,100.0,52.20783673453966
광진구,2024-09,13.853986798206003,80.88,11.96,84.39,52.23880597014925,48.66455855367106
광진구,2024-10,6.201537060617167,77.79,36.37,85.71,16.417910447761194,44.49788950167567
광진구,2024-11,0.7027858279081541,71.85,53.58,86.51,13.432835820895525,45.215124329760734
광진구,2024-12,0.0680115317330471,65.84,76.47,87.57,2.985074626865672,46.58661723171974
구로구,2022-01,0.0,53.39,80.69,76.13,0.0,42.041999999999994
구로구,2022-02,0.6801153173304718,57.72,78.49,76.13,1.4925373134328357,42.90253052615266
구로구,2022-03,1.3829011452386262,57.5,59.64,73.42,8.955223880597014,40.179625005167125
구로구,2022-04,0.3173871480875535,56.43,43.15,73.42,16.417910447761194,37.94705951916975
구로구,2022-05,0.2607108716433475,65.87,33.22,72.64,13.432835820895525,37.08470933850778
구로구,2022-06,42.90970335636909,86.76,19.44,70.7,10.44776119402985,46.05149291007979
구로구,2022-07,30.122382972935185,83.08,8.1,69.54,50.74626865671642,48.31773032593032
구로구,2022-08,70.0,90.24,14.15,69.54,26.86567164179105,54.159134328358206
구로구,2022-09,24.53294969791545,83.46,20.9,71.48,14.925373134328357,43.05966456644876
구로구,2022-10,15.055523858823172,75.0,41.28,73.42,5.970149253731343,42.145134622510895
구로구,2022-11,13.04918367269828,58.97,52.3,74.58,2.985074626865672,40.37685165991279
구로구,2022-12,0.4420749562648067,69.01,77.77,76.13,0.0,44.67041499125296
구로구,2023-01,6.858981867369955,55.9,81.75,78.16,11.940298507462686,46.92185607496653
구로구,2023-02,0.0566762764442059,48.19,74.29,78.16,4.477611940298507,41.034857643348545
구로구,2023-03,0.4987512327090126,39.33,54.74,75.6,11.940298507462686,36.421809948034344
구로구,2023-04,13.547934905407294,52.17,48.01,75.6,19.402985074626866,41.74618399600683
