`RAINGAUGE_CODE`|`RAINGAUGE_NAME`|`GU_CODE`|`GU_NAME`|`RAINFALLHOUR`|`RAINFALLACCU`|`RAINFALLMAX`|`RECEIVE_TIME`|`LIST_TIME`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 12:05:40`|`2020-07-17 12:06:16`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 12:04:40`|`2020-07-17 12:05:15`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 12:02:40`|`2020-07-17 12:03:23`
`102`|`세곡동`|`101`|`강남구`|`0`|`402`|`18`|`2020-07-17 11:48:40`|`2020-07-17 11:49:06`
`102`|`세곡동`|`101`|`강남구`|`0`|`402`|`18`|`2020-07-17 11:47:40`|`2020-07-17 11:48:00`
`102`|`세곡동`|`101`|`강남구`|`0`|`402`|`18`|`2020-07-17 11:49:40`|`2020-07-17 11:50:01`
`101`|`강남구청`|`101`|`강남구`|`0`|`449.5`|`16.5`|`2020-07-17 12:06:40`|`2020-07-17 12:07:18`
`102`|`세곡동`|`101`|`강남구`|`0`|`402`|`18`|`2020-07-17 11:46:40`|`2020-07-17 11:46:58`
`102`|`세곡동`|`101`|`강남구`|`0`|`402`|`18`|`2020-07-17 11:50:40`|`2020-07-17 11:51:08`
`102`|`세곡동`|`101`|`강남구`|`0`|`402`|`18`|`2020-07-17 11:53:40`|`2020-07-17 11:54:17`
`102`|`세곡동`|`101`|`강남구`|`0`|`402`|`18`|`2020-07-17 11:54:40`|`2020-07-17 11:54:58`
`102`|`세곡동`|`101`|`강남구`|`0`|`402`|`18`|`2020-07-17 11:51:40`|`2020-07-17 11:52:06`
`102`|`세곡동`|`101`|`강남구`|`0`|`402`|`18`|`2020-07-17 11:52:40`|`2020-07-17 11:53:00`
`102`|`세곡동`|`101`|`강남구`|`0`|`402`|`18`|`2020-07-17 11:57:40`|`2020-07-17 11:58:18`
`102`|`세곡동`|`101`|`강남구`|`0`|`402`|`18`|`2020-07-17 11:55:40`|`2020-07-17 11:56:01`
`102`|`세곡동`|`101`|`강남구`|`0`|`402`|`18`|`2020-07-17 11:59:40`|`2020-07-17 11:59:59`
`102`|`세곡동`|`101`|`강남구`|`0`|`402`|`18`|`2020-07-17 11:58:40`|`2020-07-17 11:59:01`
`102`|`세곡동`|`101`|`강남구`|`0`|`402`|`18`|`2020-07-17 12:00:40`|`2020-07-17 12:01:07`
`102`|`세곡동`|`101`|`강남구`|`0`|`402`|`18`|`2020-07-17 11:56:40`|`2020-07-17 11:57:21`
