gu,total_pop,avg_time,total_time,pop_norm,avg_norm,total_norm,stress_score,model,w_pop,w_avg,w_total
38100,111.67999999999999,243.4857142857143,27192.48457142857,0.00019224664591543496,0.6449145153170577,0.0010372876073337118,18.128149834211666,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
38380,64.15,243.05882352941177,15592.223529411765,0.00010789026592687679,0.6435612708613015,0.0005795688007202372,18.07065046385433,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
36310,62.98,242.75,15288.394999999999,0.00010581374657937807,0.6425822997245093,0.00056758044706218,18.042692138870187,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
35320,16.71,242.8,4057.1880000000006,2.3693618195818475e-05,0.6427407998133233,0.00012442363824133814,18.028189055188815,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
32070,50.089999999999996,242.46666666666667,12145.155333333332,8.29365376996702e-05,0.6416841325545636,0.0004435556596961305,18.012207982228894,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
11180,140066.4,43.42013112024559,6081701.453540767,0.2485842841277641,0.010706261310168518,0.23993386156110535,17.87578779208435,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
22040,121.87,240.6,29321.922,0.00021033188707014587,0.6357667959055089,0.001121310161225682,17.875324783002537,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
22070,417.86,239.07258064516128,99898.8685483871,0.0007356557859300941,0.6309248738375467,0.00390610919562175,17.858953302471246,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
36010,188.8,239.69387755102042,45254.204081632655,0.00032911944256423803,0.6328943861327171,0.0017499602506176601,17.821741325408183,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
35340,13.05,240.0,3132.0,1.7197839724155883e-05,0.6338647948397413,8.791791257540236e-05,17.777749240668538,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
21140,111.11,237.45945945945945,26384.120540540538,0.00019123500828460227,0.6258112768135182,0.001005391478601164,17.591295169252312,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
26040,96.61,236.90625,22887.5128125,0.00016550036679850732,0.6240576018443772,0.0008674236250608686,17.536216091615742,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
37320,66.45,235.4,15642.330000000002,0.00011197231250742978,0.6192827866688565,0.0005815458832908958,17.390084595207895,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
22060,608.61,232.6057142857143,141566.16377142858,0.0010741994316868263,0.610424895991139,0.005550201908296263,17.35563036383229,pca,0.3584613236941443,0.2804061356209105,0.36113254068494527
